순,등록번호,청구기호,서명,저작자,편/권차,발행자,발행년,가격,자료실명
925,EM0000452507,528.91-정811ㅂ,반려견을 위한 질병백과  : 강아지는 아프다고 말하지 못합니다,"저자: 정창우, 김하국",,크라운출판사,2019,25000,임시자료실
926,EM0000452508,594.62-이79ㅊ,초간단 밥솥 이유식,안나 저,,예문아카이브,2019,19800,임시자료실
927,EM0000452509,598.104-소31ㅂ-1,"봄이와  : 어느날 우리에게 봄이 왔다 . 1, 탄생편",소만 지음,1,내가그린,2019,15000,임시자료실
928,EM0000452510,598.104-소31ㅂ-2,"봄이와  : 난 누군가 여긴 어딘가 . 2, 정글편",소만 지음,2,내가그린,2019,15000,임시자료실
929,EM0000452511,579.55-김77ㅂ,뷰티풀 타임  : 뷰티 에디터도 궁금한 명품 화장품 브랜드 탄생 이야기,글: 김주은  ; 카툰: 우영미  ; 일러스트: 박지현,,이인시각,2019,18000,임시자료실
930,EM0000452512,183.646-스213ㅅ,사춘기 SOS  : 10대 아이를 둔 부모의 마음챙김,엘리너 스널 지음  ; 임희근 옮김,,돌배나무,2019,12000,임시자료실
931,EM0000452513,594.5543-지68ㅅ,샐러드가 필요한 모든 순간 나만의 드레싱이 빛나는 순간,지은경 지음,,레시피팩토리,2019,16800,임시자료실
932,EM0000452514,594.5541-세14ㅅ,세계의 소스  = Sauces,"저자: 양향자, 한임자, 전윤자, 강계숙, 지영스님, 마은희, 배명순",,지구문화,2019,24000,임시자료실
933,EM0000452515,591-여98ㅅ,소소살림  : 똑똑하고 빠른 살림 꿀팁 Get!,여희정 지음,,북오션,2019,17000,임시자료실
934,EM0000452516,593.5-박64ㅅ,소소한 근육과 슬기로운 식사가 필요합니다  : 건강하고 행복한 삶을 위하여,지은이: 박영희,,봄날에,2019,14000,임시자료실
935,EM0000452517,594.5547-손14ㅅ,손경희의 수제청 정리노트  : 새콤달콤 나만의 홈카페 즐기기,손경희 지음,,한국경제신문i,2019,15000,임시자료실
936,EM0000452518,517.3-혼31ㅅ,숨 하나 잘 쉬었을 뿐인데  : 일본 최고의 호흡 전문의가 전하는 하루 5분 기적의 호흡법!,혼마 이쿠오 지음  ; 조해선 옮김,,북라이프,2019,14000,임시자료실
937,EM0000452519,527.47-노71ㄱ,(쉽게 배우는) 고양이 가정의학  : 오직 한 번뿐인 묘생을 위하여,노자와 노부유키 지음  ; 임지인 옮김,,Samho Media(삼호미디어),2019,15000,임시자료실
938,EM0000452520,594.54-권94ㅅ,"스페인의 맛  : 미식의 나라, 스페인을 가다",권혜림 지음,,버튼북스,2019,18000,임시자료실
939,EM0000452521,594.51-식831-1,"식탁 위의 동의보감 . 1, 약이 되는 한식·내경 편, 노화 방지·정력 강화를 위한 음식 레시피","김상보, 최정은, 조미순, 이주희, 이미영, 김순희, 이지선 지음",1,와이즈북,2019,28000,임시자료실
940,EM0000452522,594.5536-이55ㅅ,"심플리 인 시즌  = Simply in season  : 지금, 우리가 계절을 살아가는 방법",이소영 글  ; 김현정 사진,,Book Agit,2019,18000,임시자료실
941,EM0000452523,598.1-박79ㅇ,아이가 이끄는 대로 마음이 닿는 데로  : RT 발달중재 프로그램으로 행복한 소통 육아,박지혜 지음,,한울림,2019,14000,임시자료실
942,EM0000452524,573.42-홀58ㅇ,(National geographic) 아틀라스 오브 비어  : 전 세계 맥주와 함께 하는 세계 여행,"낸시 홀스트-풀렌, 마크 W. 패터슨 지음  ; 박성환 옮김",,영진닷컴,2019,30000,임시자료실
943,EM0000452525,594.5524-실63ㅇ,"알면 더 맛있는, 고기사전",실업지일본사 글  ; 이승원 옮김,,북커스,2019,13500,임시자료실
944,EM0000452526,598.125-오821ㅇ,"애착은 어떻게 아이의 인생을 바꾸는가  : 0세부터 사춘기까지, 세상의 모든 아이를 위한 11가지 마음 분석서",오카다 다카시 지음  ; 김지윤 옮김,,카시오페아(카시오페아 출판사),2019,16000,임시자료실
945,EM0000452527,593.5-백39ㅇ,(바르고 건강한 몸을 만드는) 어디서나 필라테스  : 체형교정과 슬림하고 탄탄한 몸을 위한 일상생활 필라테스,백민경 지음,,Booksgo(북스고),2019,13800,임시자료실
946,EM0000452528,593.7-위57ㅇ,얼굴 내 손으로 성형하기  : 누구나 쉽고 간단하게 예쁜 얼굴 만드는 셀프 동작,위수영 지음,,씽크스마트,2019,19000,임시자료실
947,EM0000452529,594.62-문812ㅋ,(엄마가 꾸며주는) 캐릭터 식판식,문채연 지음,,국민출판사,2019,11000,임시자료실
948,EM0000452530,598.1-김55ㅁ,(엄마와 아이를 위한) 마음 챙김  : 엄마와 아이의 마음을 들여다보는 시간,김소정 지음,,글라이더,2019,14800,임시자료실
949,EM0000452531,598.1-피69ㅇ,"엄마의 화는 내리고, 아이의 자존감은 올리고",이자벨 피이오자 지음  ; 김은혜 옮김,,푸른육아,2019,13800,임시자료실
950,EM0000452532,001.3-유95ㅇ,에너지 인문학  : 자연에 에너지 본질 긋기  : 가상세계 안에서 에너지 작동하기,유호경 지음,,한국경제신문i,2019,16000,임시자료실
951,EM0000452533,594.5-문53ㅇ,에어프라이어 119 레시피,글과 요리: 문성실,,상상출판,2019,15500,임시자료실
952,EM0000452534,594.5-류39ㅇ,(요리하는 사슴씨의) 에어프라이어 레시피북,류민정 지음,,TWIG,2019,15000,임시자료실
953,EM0000452535,594.5-노53ㄷ,"다 된다! 에어프라이어 최강 레시피  : 집밥, 반찬, 홈파티 요리, 이유식, 간식",노선미 지음,,BM황금부엉이,2019,13900,임시자료실
954,EM0000452536,592.27-후827ㅇ,여름 손뜨개,지은이: 후쿠시마 레이코  ; 옮긴이: 혜원,,조선교육문화미디어,2019,13000,임시자료실
955,EM0000452537,598.1-유44ㄱ,감성할마 유별님의 영재육아 이야기,유별님 글·그림,,Modoobooks(모두북스),2019,15000,임시자료실
956,EM0000452538,594.51-장64ㅇ,"예쁘고, 맛있고, 만들기 쉬운 사계절 떡","장여진, 백송이 지음",,경향BP(경향비피),2019,16000,임시자료실
957,EM0000452539,594.675-김65ㅇ,오늘도 배부른 다이어트  : {꿈꾸는 할멈} 김옥란의 비법 요리책,요리·글: 김옥란,,For Book(포북),2019,18000,임시자료실
958,EM0000452540,594.504-박811ㅇ,오늘의 메뉴는 제철 음식입니다  : 박찬일 셰프의 이 계절 식재료 이야기,지은이: 박찬일,,달,2019,14000,임시자료실
959,EM0000452541,527.4186-에41ㅇ,"우리 강아지, 이럴 땐 어쩌죠?  : 고민에 빠진 반려인을 위한 반려견 긴급 상담소",짐 에반스 지음  ; 신승미 옮김,,RHK(알에이치코리아),2019,16000,임시자료실
960,EM0000452542,598.123-한817ㅇ,우리 아이 인생 습관을 만드는 하루하루 행동 코칭  : 3~7세,한춘근 지음,,청어람Life(청어람라이프),2019,13000,임시자료실
961,EM0000452543,516.9-최66ㅇ,우리 아이 홈닥터,"최용성, 김지희, 시부야 노리코 [공]감수  ; 권효정, 김현준 [공]옮김",,YUNA(유나),2019,18000,임시자료실
962,EM0000452544,594.53-퀸831ㅇ,유럽식 집밥  : 유럽 사람들이 가장 즐겨 먹는 집밥 레시피 50,"지은이: 베로니끄 퀸타르트, 옮긴이: 이지원, 정연주",,다산라이프,2019,17000,임시자료실
963,EM0000452545,548.95-권52ㅇ,유럽의 리빙 플레이스 러빙 플레이스  = Living & loving,지은이: 권샐리,,Amstory(에이엠스토리),2019,18000,임시자료실
964,EM0000452546,517.3-박75ㅇ,(의사와 약사가 알려 주지 않는) 의학상식 약학상식,박종하 지음,,좋은땅,2019,13000,임시자료실
965,EM0000452547,818-백95ㅇ,이웃집의 백호  : 세상에서 가장 행복한 멍멍이 70만 팔로워 웰시코기의 신나는 일상!,"백호누나, 백호 지음",,위즈덤하우스,2019,15000,임시자료실
966,EM0000452548,517.52-이72ㅅ-1,(이재성 박사의) 식탁보감  : 알고 먹으면 더 건강해지는 식탁의 비밀. 1,이재성 지음,1,소라주,2019,14000,임시자료실
967,EM0000452549,517.52-이72ㅅ-2,(이재성 박사의) 식탁보감  : 알고 먹으면 더 건강해지는 식탁의 비밀. 2,이재성 지음,2,소라주,2019,14000,임시자료실
968,EM0000452550,594.71-이59ㄹ,(일류 셰프의) 롤케이크  : 일본에서 오랫동안 사랑받아 온 셰프들의 비밀 레시피,이시즈카 신고 [외]지음  ; 권효정 옮김,,유나,2019,15000,임시자료실
969,EM0000452551,594.53-노71ㅇ,일본 가정식 반찬 결정판,노자키 히로미쓰 지음  ; 김소영 옮김,,시그마북스,2019,21500,임시자료실
970,EM0000452552,527.4786-나68ㅈ,잠시 고양이면 좋겠어  : 왜 그럴까? 어떤 마음일까?,나응식 지음  ; 윤파랑 그림,,김영사,2019,14800,임시자료실
971,EM0000452553,594.675-진77ㅈ,진주의 키토 도시락  : 맘껏 먹고도 25kg 감량한 저탄고지 요리연구가의 다이어트 레시피,진주 지음,,윈타임즈,2019,15500,임시자료실
972,EM0000452554,598.1-박19ㅊ,차이나는 유대인 엄마의 교육법  : 자녀교육은 유대인 엄마처럼,박기현 지음,,메이트북스,2019,15000,임시자료실
973,EM0000452555,598.1-시231ㅊ,처음 3년 육아  : 내 아이를 위한 결정적 시간,시라카와 요시쓰구 지음  ; 이수경 옮김,,김영사,2019,12800,임시자료실
974,EM0000452556,594.5-이49ㅊ,(시청자와 제작진이 직접 뽑은) 최고 중에 최고의 요리  : EBS <최고의 요리비결> 15주년 특별판!,EBS 최고의 요리비결 출연진들 지음,,그리고책,2019,18000,임시자료실
975,EM0000452557,514.251-김19ㅊ,"출산, 수유 그리고 예쁜 가슴",지은이: 김기갑,,청춘미디어,2019,15000,임시자료실
976,EM0000452558,573.9-신55ㅋ,카페 시그니처 메뉴 101  : 세상의 커피 음료 그리고 디저트,신송이 지음,,수작걸다,2019,16000,임시자료실
977,EM0000452559,592.27-박73ㅋ,크로셰  = Crochet  : 코바늘 뜨개로 완성하는 실용 소품 50,박정현 지음,,더테이블,2019,22000,임시자료실
978,EM0000452560,514.35-이59ㅌ,통증의 90%는 고관절이 문제다  : 인공관절수술의 1인자가 말하는 통증 없이 걷는 몸의 비밀,이시베 모토미 지음  ; 이유라 옮김,,북라이프,2019,13500,임시자료실
979,EM0000452561,519.74-양68ㅌ,트럼프는 소양인 체질이다,양의호 지음,,청어,2019,13000,임시자료실
980,EM0000452562,594.5542-밀239ㅍ,파스타  = Pasta  : 72가지의 특별한 홈메이드 레시피,밀리 지음,,테이스트북스,2019,17000,임시자료실
981,EM0000452563,594.3993-임58ㅍ,팝핑소리로 말하는 팔색 커피향,임승길 지음,,좋은땅,2019,15000,임시자료실
982,EM0000452564,592.3-김211ㅍ,패턴을 그리지 않고 옷 만들기  : 옷 수선 디자이너의 특별 노하우!!,"김남선, 김수겸 공저",,예신Books,2019,20000,임시자료실
983,EM0000452565,539.7-야31ㅍ,"포틀랜드 메이커스  = Portland makers  : 로컬 크리에이터가 만드는 도시, 도시가 만드는 로컬 크리에이터",야마자키 미츠히로 지음  ; 이승민 옮김.,,컨텐츠그룹 재주상회,2019,14000,임시자료실
984,EM0000452566,539.92-진53ㅎ,하늘아! 미세먼지 어떡해?,진성림 지음,,지식과감성#,2019,14000,임시자료실
985,EM0000452567,375.1474-김94ㅎ,하루 한 권 영국 엄마의 그림책 육아,김혜중 지음,,서사원,2019,16000,임시자료실
986,EM0000452568,594.5543-에221ㅎ,"하루 한 끼, 샐러드 200  : 몸이 가벼워지는 습관",에다준 지음  ; 김유미 옮김,,로지,2019,16000,임시자료실
987,EM0000452569,594.675-최98ㅎ,한 그릇 베스트 다이어트 레시피 100  : 먹으면서 빼는 최강의 삼시 세끼,최희정 지음,,비타북스,2019,15000,임시자료실
988,EM0000452570,594.71-이79ㅎ,(영양-위생 전문가 이지선의) 홈메이드 천연발효빵 레시피,저자: 이지선,,크라운출판사,2019,27000,임시자료실
989,EM0000452571,594.5-야31ㅎ,홈카페 조식  = Home cafe breakfast  : 일본 카페 11곳의 베이킹 레시프,야마무라 미츠하루 감수  ; 옮김: 최수진,,책밥,2019,15000,임시자료실
990,EM0000452572,527.4786-퍼58ㅎ,화낼 거냥?  : 고양이의 행복한 삶을 위해 집사가 알아야 할 고양이의 속마음,키티 퍼스킨 지음  ; 임현석 옮김,,지혜정원,2019,12000,임시자료실
991,EM0000452573,청579.55-최79ㅎ,화장품이 궁금한 너에게  : 10대부터 쌓는 건강한 화장품 지식,최지현 지음,,창비,2019,12800,임시자료실
992,EM0000452574,517.52-김73ㅎ,힐링 다이어트 30일 생활 건강법  : 우리 전통 건강법으로 몸짱 만들기,김정일 저,,전원문화사,2019,16000,임시자료실
993,EM0000452575,573.94-파238ㅎ,(기초부터 배우는) 힐링 허브티의 101가지 티블렌딩,사라 파르 지음 ; 유주리 옮김 ; 정승호 감수,,한국티소믈리에연구원,2019,28000,임시자료실
994,EM0000452576,657.7-뱅35ㄱ,(몰리 뱅의) 그림 수업  : 마음을 움직이는 그림의 원리,지은이: 몰리 뱅  ; 옮긴이: 이미선,,공존,2019,20000,임시자료실
995,EM0000452577,670.15-김39ㅇ,12주제의 클래식 음악 콘서트  = 12 scenes of classic music concert,지은이: 김미애,,학지사,2019,18000,임시자료실
996,EM0000452578,662-김66ㄷ,"DSLR 사진 특강  : 111강  : DSLR, 미러리스, 사진의 백과사전",김완모 지음,,BM성안당,2019,30000,임시자료실
997,EM0000452579,668-손58ㄱ,거리의 거리  : 섬을 걷다,지은이: 손스타,,송송책방,2019,34000,임시자료실
998,EM0000452580,592.2-문96ㄱ,곁에 두고 보는 옷 만들기 노트  : 옷 만들 때 궁금한 것 싹 해결!,지은이: 문화출판국 편집부  ; 옮긴이: 김은혜,,즐거운상상,2019,13000,임시자료실
999,EM0000452581,691.2-양72ㄱ,공통사활 新사전,양재호 지음,,BM성안당,2014,18000,임시자료실
1000,EM0000452582,811.7-이37ㄱ,그 이후의 여행,시·사진: 이문연,,정은출판,2019,12000,임시자료실
1001,EM0000452583,656-노79ㄴ,나에게 위로를 주는 따뜻한 손그림  : 토닥토닥 연필과 색연필 그리고 오일 파스텔로 그리는 일러스트 따라 그리기,노지혜 지음,,팜파스,2019,18000,임시자료실
1002,EM0000452584,636.5-일45ㄴ,나의 첫 사시코 자수,일본문예사 지음  ; 장인주 옮김,,경향미디어,2019,13800,임시자료실
1003,EM0000452585,609.2-정69ㄴ,내가 화가다  : 페미니즘 미술관,정일영 지음,,아마존의 나비,2019,19800,임시자료실
1004,EM0000452586,631.213-키231ㄷ,다완과 일본인  : 다완을 알면 일본이 보인다,키라 후미오 지음  ; 오순화 옮김,,월간도예,2019,20000,임시자료실
1005,EM0000452587,698.4-이221ㄷ,다트 교과서  = Darts  : 사진과 도해로 보는 다트 던지는 법·게임 룰·매너·멘탈 강화,지은이: 이다원  ; 일러스트: 최예림  ; 사진: 신기환,,보누스,2019,14800,임시자료실
1006,EM0000452588,688.13-스239ㄷ,당신도 영화를 만들 수 있다  : 영상으로 자신의 이야기를 알리고픈 당신을 위한 39가지 방법,매트 스리프트  ; 리틀 화이트 라이즈 [공] 지음  ; 김지윤 옮김,,더숲,2019,13500,임시자료실
1007,EM0000452589,677.43-데39ㄷ,데미안의 하상하상기타  : 국내유일의 정통 guitar 교본,저자: 데미안,,데미안의 하상하상기타출판사,2019,40000,임시자료실
1008,EM0000452590,658.3-다833ㄷ,디자인 룰  : 미세한 차이가 완성도를 결정한다,"다테 치요, 나이토 다카히코 지음  ; 이수연 옮김",,우듬지,2019,15000,임시자료실
1009,EM0000452591,653.28-켐848ㄹ,레오나르도 다빈치  : 그와 함께한 50년,저자: 마틴 켐프  ; 번역: 이상미,,지에이북스,2019,24800,임시자료실
1010,EM0000452592,634.9-랭235ㄹ,로버트 랭의 완벽한 종이접기  : 초급부터 고급까지 종이접기 뇌 운동,로버트 J. 랭  ; 김지원 옮김,,비전비엔피,2019,15800,임시자료실
1011,EM0000452593,658-김19ㅋ,(맛깔나는) 캘리그라피,지은이: 김기충,,좋은땅,2019,24000,임시자료실
1012,EM0000452594,592.91-이817ㅁ,모던한복은 어떤 디자인 일까?,저자: 이춘희,,홍경,2019,20000,임시자료실
1013,EM0000452595,688.04-권65ㅁ,무슨 영화를 보겠다고,"권오섭, 최상훈 [공]지음",,오늘산책,2019,17000,임시자료실
1014,EM0000452596,688.15-이75ㅁ,미장센  : 영화 창작 논리의 해부,이종승 지음,,아모르문디,2019,9000,임시자료실
1015,EM0000452597,673.511-서44ㅂ,방탄소년단과 K팝  = BTS & K-pop,서병기 저,,BM성안당,2019,18000,임시자료실
1016,EM0000452598,525.7-조44ㅂ,베란다 들꽃 키우기  : 베란다에서 재배 가능한 계절별 야생화,조병필 지음,,가교출판,2019,20000,임시자료실
1017,EM0000452599,662-나821ㅅ,사진에 관한 모든 것,"나카하라 카즈오 지음  ; 박혜빈, 한아름 옮김",,정원그라피아,2019,18000,임시자료실
1018,EM0000452600,660.4-김14ㅅ,사진을 읽어드립니다  : 어디선가 본 적 있는 사진에 관한 이야기,김경훈 지음,,Sigongart,2019,16000,임시자료실
1019,EM0000452601,863-퐁838ㅅ,섬 위의 주먹,"글쓴이: 엘리즈 퐁트나유  ; 그린이: 비올레타 로피즈  ; 옮긴이: 정원정, 박서영",,오후의 소묘,2019,16000,임시자료실
1020,EM0000452602,699.95-김57ㅅ,('조화' 디자인을 더해 실크플라워로) 시얀의 플라워 레슨  : silkflower lesson,김수열 지음,,라이스트리,2019,16000,임시자료실
1021,EM0000452603,688.04-천57ㅇ,엄마네 레스토랑으로 저녁 먹으러 갈래?,지은이: 천수림,,심화북스,2018,16000,임시자료실
1022,EM0000452604,540.0924-야31ㅇ,영국의 주택  : 영국인의 라이프 스타일,"야마다 카요코, Cha Tea 홍차 교실 [공]지음  ; 문성호 옮김",,AK커뮤니케이션즈,2019,17000,임시자료실
1023,EM0000452605,688.01-김67ㅇ,영화 스토리텔링,김윤아 지음,,아모르문디,2019,9000,임시자료실
1024,EM0000452606,652.52-김55ㅇ,오늘 본 수채화 풍경  : 7가지 기법으로 쉽게 그리는 30가지 풍경 수채화,김소라 지음,,책밥,2019,15800,임시자료실
1025,EM0000452607,670.9-서73ㅇ,음악편애  : 음악을 편들다,서정민갑 지음,,민중의소리,2019,18000,임시자료실
1026,EM0000452608,648-이34ㅇ,이것이 秋史體다  : 書張彦冊·黃花引·觀燈行  : 秋史 金正喜 遺作의 眞髓,著者: 李明玉,,香源,2019,18000,임시자료실
1027,EM0000452609,658-이94ㅇ,인생 캘리그라피  : 마음으로 쓰는 손글씨,이형구 지음,,행복에너지,2019,25000,임시자료실
1028,EM0000452610,687.73-양58ㅇ,일상성의 미학에 이르는 길  : 텔레비전 드라마 연구 방법론,양승국 지음,,박이정,2019,30000,임시자료실
1029,EM0000452611,691.3-구64ㅈ-1,장기야 놀자  : 논리적으로 재미있게 배우는 장기 작전법,구영모 지음,1,두람북스,2019,19500,임시자료실
1030,EM0000452612,691.3-구64ㅈ-2,장기야 놀자  : 논리적으로 재미있게 배우는 장기 작전법,구영모 지음,2,두람북스,2019,22000,임시자료실
1031,EM0000452613,695.1-손222ㄴ,(재밌어서 밤새 읽는) 농구 이야기  : 농구전문기자 손대범이 전하는 승리 공식들,손대범 지음,,메이트북스,2019,17000,임시자료실
1032,EM0000452614,636.5-주47ㅅ,(초보자를 위한) 사시코 자수 패턴 30,주부와 생활사 지음  ; 장인주 옮김,,경향미디어,2019,13800,임시자료실
1033,EM0000452615,662-조64ㅈ,(최고의 한 컷을 위한) 조명  : 매출을 올려주는 쇼핑몰 제품 촬영,조영진 저,,Digital Books(디지털북스),2019,17000,임시자료실
1034,EM0000452616,658-이66ㄴ=2,"내가 봐도 괜찮은 캘리그라피 쓰는 법을 하나씩 하나씩 알기 쉽게  : 왕초보에서 작가 데뷔까지, 30일 완성 캘리그라피 연습장!",이용선,,동양북스,2019,14000,임시자료실
1035,EM0000452617,631.4-신79ㅋ,클레이 플라워  = Clay flower  : 내 손에서 피어나는 클레이 아트,지은이: 신지유,,시대인,2019,17000,임시자료실
1036,EM0000452618,668.5-루69ㅌ,"태어나서 처음으로  : 분만 후 24시간, 엄마가 된다는 것의 의미",지은이: 제니 루이스  ; 옮긴이: 강수정,,HB Press(에이치비 프레스),2019,15000,임시자료실
1037,EM0000452620,679.312-김19ㅍ,판소리에 반하다  = Fascination of Pansori  : 현대 판소리의 초상,지은이: 김기형,,민속원,2019,35000,임시자료실
1038,EM0000452621,592.3-패333-2,패턴 학교  : 셔츠부터 코트까지 자유자재로 만든다. Vol.2-4,마루야마 하루미 감수 ; 황선영 옮김,2,이아소,2017,19000,임시자료실
1039,EM0000452622,592.3-패333-3,패턴 학교  : 셔츠부터 코트까지 자유자재로 만든다. Vol.2-4,마루야마 하루미 감수 ; 황선영 옮김,3,이아소,2018,20000,임시자료실
1040,EM0000452623,592.3-패333-4,패턴 학교  : 셔츠부터 코트까지 자유자재로 만든다. Vol.2-4,마루야마 하루미 감수 ; 황선영 옮김,4,이아소,2019,21000,임시자료실
1041,EM0000452625,662-프235,프로 사진가 92명의 사진 구도와 풍경 사진,하기하라 시로 외 91인 지음,,이지스퍼블리싱,2015,27000,임시자료실
1042,EM0000452626,662-프235,프로 사진가들의 사진 보정과 렌즈 활용법,이시다 아키히사 외 지음,,이지스퍼블리싱,2015,27000,임시자료실
1043,EM0000452627,695.8-박19ㅍ,피라미드 골프  = Pyramid golf  : 365일 가지고 다니는 골프 매뉴얼,박길석 지음,,예문당,2019,13000,임시자료실
1044,EM0000452629,670.911-전69ㅎ,한국음악 선구자들의 삶과 음악  : contemporary musicians of Korea after 20 century,지은이: 전인평 외,,아시아문화,2019,32000,임시자료실
1045,EM0000452630,630-아51ㅎ,핸드메이드 액세서리 class book,아사히신문출판 지음  ; 배선희 옮김,,마피아싱글하우스,2019,22000,임시자료실
1046,EM0000452631,512.49-신67ㅎ,(치유의 숲에서 하루를) 힐링 산림욕,신원섭 지음,,이룸나무,2019,17000,임시자료실
1047,EM0000452632,745-김14ㅇ,(딱! 2주) 웃어라 영문법,지은이: 김경아,,Kimyes(킴예스),2018,16800,임시자료실
1048,EM0000452633,745-김14ㅇ,"(딱! 2주) 웃어라 영문법, 심화편",지은이: 김경아,,Kimyes(킴예스),2019,16800,임시자료실
1049,EM0000452634,740-김19ㅍ,(쓰고 말하기 쉬운) fun English,김기영 지음,,휴앤스토리,2019,13000,임시자료실
1050,EM0000452635,745-리53ㅎ,(레전드) 한 권으로 끝내는 말하기 영문법  = Grammar for speaking,저자: Sunny Lee,,Language Books(랭귀지북스),2019,16000,임시자료실
1051,EM0000452636,770.77-유68ㅍ,"FLEX up  : 스페인어  : 새로운 유형, 새로운 문제!","집필: 유은정, 김준한",,Hu:ine,2019,20000,임시자료실
1052,EM0000452637,720.77-권64ㅍ,"FLEX up  : 중국어  : 새로운 유형, 새로운 문제!","공동집필: 권영실, 노홍금, 백지훈",,Hu:ine,2019,20000,임시자료실
1053,EM0000452638,745-곽79ㅂ,(20일 만에 끝내는 곽지영) 벼락치기 기초영어,곽지영 편저,,더채움,2019,16000,임시자료실
1054,EM0000452639,747.5-최63ㄱ,"국가대표 영어회화 훈련법  : 김연아, 유승민, 윤성빈 선수의 유창한 영어 실력 비결",에리카 최 지음,,사람in,2019,14500,임시자료실
1055,EM0000452640,740-임98ㄱ,그림으로 풀어가는 캐나다 영어 이야기  = The story of English in Canada learning by drawing,임희창 지음,,신아출판사,2019,20000,임시자료실
1056,EM0000452641,720-권66ㄱ,"(쉽게, 빠르게, 정확하게 익히는) 기초 중국어 배우기","저자: 권용선, 송효근, 왕홍",,홍익교육,2019,15000,임시자료실
1057,EM0000452642,739.82-윤77ㄲ,"(왕초보 베트남어 도전) 끝장 베트남어, 비즈니스 기초 회화편",윤주영 지음,,Hi English,2019,14800,임시자료실
1058,EM0000452643,744-키64ㄴ,뉘앙스 덕분에 영어 공부가 쉬워졌습니다  : 영어 단어 표현 뉘앙스 사전,저자: 키 영어학습방법연구소  ; 삽화: 황수은,,키출판사,2019,15000,임시자료실
1059,EM0000452644,755-안98ㄷ,"(한번에 끝내는) 독일어 문법  = Deutsche Grammatik fur die Grundstufe, 초중급편",안희철 지음,,넥서스,2019,15000,임시자료실
1060,EM0000452645,757.5-안98ㄷ,독일어회화 100일의 기적  : 100일 후에는 나도 독일어로 말한다!,안희철 지음·강의,,넥서스,2019,13800,임시자료실
1061,EM0000452646,797.7-최64ㄷ,(입에서 톡) 독학 아랍어 첫걸음  : 시즌3,최영길 지음,,문예림,2019,18000,임시자료실
1062,EM0000452647,796.72-최59ㅇ,(입에서 톡) 독학 인도네시아어 첫걸음  : 인도네시아어 회화 첫걸음  : 시즌3,최신영 지음,,문예림,2019,18000,임시자료실
1063,EM0000452648,777-세238ㄷ,돈 키호테. 1,Miguel de cervantes Saavedra 지음 ; Begona Rodriguez Rodriguez 각색 ; Jose Luis Navarro 그림 ; 서경석 번역 및 해설,,다락원,2019,10000,임시자료실
1064,EM0000452649,735-최67ㅁ-2,"마구로센세의 본격! 일본어 스터디  : 초급. 2 , 일본의 이곳저곳","글: 최유리 , 그림: 나인완",2,BS(브레인스토어),2019,15500,임시자료실
1065,EM0000452650,740-김53ㅁ,(솔솔! 술술! 척척! 세상에서 참 배우기 쉬운) 마법 영어 첫걸음,김성숙 지음,,동서문화사,2019,10000,임시자료실
1066,EM0000452651,727-이77ㅎ,(脈) 현대한어  : 중국어의 맥을 짚어주는,지은이: 이주은,,나눔사,2019,12000,임시자료실
1067,EM0000452652,747.5-반55ㅁ,미국에서 기죽지 않는 쓸만한 영어  : 일상생활 필수 생존회화,Sophie Ban 지음,,시대인,2019,14000,임시자료실
1068,EM0000452653,745-블235ㅂ,블록영어  = Block English  : 레고보다 간단한 신개념 조립식 영어,블록영어연구회 지음,,길벗이지톡,2019,15000,임시자료실
1069,EM0000452654,736-나821ㅌ,(비즈니스 일본어 이메일) 통째로 따라쓰기,나카카와지 아키 지음,,시사일본어사,2019,14500,임시자료실
1070,EM0000452655,744.303-갓823ㅅ,"스타워즈 영한사전  = Star Wars English-Korean dictionary. padawan learners , 제다이 입문자 편",엮은이: 갓켄 사전편집실  ; 옮긴이: 권윤경  ; 그린이: Gurihiru,,문학수첩,2019,20000,임시자료실
1071,EM0000452656,701.7-임67ㅇ,어쩌다보니 번역가,임윤 지음,,지옥탈출판사,2019,11500,임시자료실
1072,EM0000452657,740-김94ㅇ,언어의 산책  = Walk of language,"김형엽, 오관영, 이현구 지음",,글로벌콘텐츠,2019,15000,임시자료실
1073,EM0000452658,739.81-옹79ㅅ,(급할 때 바로 찾아 말하는) 시원스쿨 여행 태국어,"저자: 옹지인, 시원스쿨 어학연구소",,시원스쿨닷컴,2019,9800,임시자료실
1074,EM0000452659,739.82-이225ㅂ,(열공) 베트남어 말하기와 OPI  : 시험에 나오는 다양한 토픽,저자: 이동준,,Digis,2019,17800,임시자료실
1075,EM0000452660,745.2-박64ㅇ,영문법 다시 읽기  : 명사,박영재 지음,,와이넛북스(whynutbooks),2019,17500,임시자료실
1076,EM0000452661,740.7-야58ㅇ,영어는 인도 사람처럼  : 동사 3개로 말문이 터지는 기적의 영어 학습법,야스다 타다시 지음  ; 정은영 옮김,,로그인,2019,13800,임시자료실
1077,EM0000452662,746-하34ㅇ,(내가 쓰고 싶은 말이 다 있는) 영어일기 표현사전  : 최신 개정판,하명옥 지음,,넥서스,2019,24500,임시자료실
1078,EM0000452663,746-이51ㅇ,영작문정복  = The conquest of English composition,저자: 이상준,,아이피출판사,2019,16000,임시자료실
1079,EM0000452664,710-최14ㅇ,(더 나은 언어생활을 위한) 우리말 강화(講話),최경봉 지음,,책과함께,2019,15000,임시자료실
