1.00,3.92
2.00,3.43
3.00,3.26
4.00,2.36
5.00,3.07
6.00,3.95
7.00,3.19
8.00,2.88
9.00,3.12
10.00,3.50
11.00,3.67
12.00,2.42
13.00,3.12
14.00,3.83
15.00,3.00
16.00,3.93
17.00,3.78
18.00,3.70
19.00,2.73
20.00,2.50
21.00,3.49
22.00,3.22
23.00,3.12
24.00,3.12
25.00,3.62
26.00,3.50
27.00,3.33
28.00,4.23
29.00,4.01
30.00,3.00
31.00,3.18
32.00,3.98
34.00,3.65
36.00,3.84
38.00,2.12
39.00,3.29
40.00,4.25
41.00,3.70
42.00,3.00
43.00,3.19
44.00,2.54
45.00,3.31
46.00,3.07
47.00,3.98
48.00,3.15
49.00,3.00
50.00,4.24
52.00,3.46
53.00,5.00
54.00,2.33
55.00,4.00
57.00,3.06
58.00,4.03
60.00,3.24
61.00,3.75
62.00,3.71
63.00,2.71
64.00,2.20
65.00,2.53
66.00,2.50
68.00,3.40
69.00,3.78
70.00,3.51
71.00,1.70
72.00,3.21
73.00,3.46
74.00,4.00
75.00,2.20
76.00,3.40
77.00,4.00
78.00,3.33
79.00,2.76
80.00,4.00
81.00,3.11
82.00,3.88
83.00,3.00
85.00,3.86
86.00,3.97
87.00,2.50
88.00,3.16
89.00,3.25
92.00,2.62
93.00,2.83
94.00,3.95
95.00,3.02
96.00,3.50
97.00,3.90
99.00,5.00
100.00,2.79
101.00,3.78
102.00,2.40
103.00,3.00
104.00,3.44
105.00,3.28
106.00,4.00
107.00,3.33
108.00,4.00
110.00,4.03
111.00,4.11
112.00,3.54
113.00,3.33
116.00,3.90
117.00,3.00
118.00,2.50
119.00,3.00
121.00,4.00
122.00,2.66
123.00,4.38
125.00,3.58
126.00,2.00
128.00,3.00
129.00,2.00
132.00,2.83
135.00,2.95
137.00,3.00
140.00,3.50
141.00,3.49
144.00,3.33
145.00,3.25
146.00,3.33
147.00,3.47
148.00,5.00
149.00,2.00
150.00,3.85
151.00,3.55
152.00,1.50
153.00,2.92
154.00,3.88
155.00,2.42
156.00,3.33
157.00,2.86
158.00,2.81
159.00,2.89
160.00,2.88
161.00,3.64
162.00,4.21
163.00,3.56
164.00,3.32
165.00,3.56
166.00,2.83
168.00,3.08
169.00,2.40
170.00,3.23
171.00,3.83
172.00,2.68
173.00,2.67
174.00,2.70
175.00,3.97
176.00,4.31
177.00,2.75
178.00,1.00
179.00,1.50
180.00,3.40
181.00,2.26
183.00,3.50
184.00,3.50
185.00,3.04
186.00,2.82
187.00,4.12
188.00,3.46
189.00,3.00
190.00,2.80
191.00,2.42
193.00,2.47
194.00,3.67
195.00,3.10
196.00,2.67
198.00,3.25
199.00,4.12
201.00,3.00
202.00,3.00
203.00,3.43
204.00,2.72
205.00,3.17
206.00,3.00
207.00,3.43
208.00,2.91
209.00,3.17
210.00,3.00
211.00,3.50
212.00,3.00
213.00,3.83
214.00,4.00
215.00,4.04
216.00,3.33
217.00,2.33
218.00,3.43
219.00,3.00
220.00,3.00
222.00,3.75
223.00,3.86
224.00,3.61
225.00,3.54
227.00,2.86
228.00,2.33
229.00,3.43
230.00,3.40
231.00,3.06
232.00,3.89
233.00,3.50
234.00,2.59
235.00,3.68
236.00,3.48
237.00,3.34
238.00,4.00
239.00,3.00
240.00,2.38
241.00,4.00
242.00,3.60
243.00,3.00
246.00,4.29
247.00,3.93
248.00,3.18
249.00,3.72
250.00,2.50
251.00,3.00
252.00,3.45
253.00,3.46
254.00,3.00
255.00,2.07
256.00,2.83
257.00,3.50
258.00,2.60
259.00,3.20
260.00,4.23
261.00,3.88
262.00,3.90
263.00,4.00
265.00,3.94
266.00,3.40
267.00,2.94
269.00,3.00
270.00,3.40
271.00,3.50
272.00,3.76
273.00,2.95
274.00,2.93
275.00,2.00
276.00,3.25
277.00,3.22
278.00,1.50
279.00,3.00
280.00,4.08
281.00,3.79
282.00,3.34
283.00,3.67
284.00,4.50
285.00,4.00
287.00,3.00
288.00,3.23
289.00,3.56
290.00,4.04
291.00,2.33
292.00,3.43
293.00,4.02
294.00,3.00
295.00,3.00
296.00,4.20
298.00,2.00
299.00,4.00
300.00,3.52
301.00,4.00
302.00,3.20
303.00,2.95
304.00,3.67
305.00,2.83
306.00,4.22
307.00,3.90
308.00,4.03
310.00,3.00
311.00,3.00
312.00,1.44
313.00,3.33
314.00,3.75
315.00,3.08
316.00,3.38
317.00,3.20
318.00,4.43
319.00,3.60
320.00,3.00
321.00,4.00
322.00,3.55
324.00,4.00
325.00,2.50
326.00,4.00
327.00,2.82
328.00,3.15
329.00,3.39
330.00,3.00
331.00,3.00
332.00,2.83
333.00,3.78
334.00,4.20
335.00,3.50
336.00,3.00
337.00,3.77
338.00,2.84
339.00,3.47
340.00,3.40
341.00,4.00
342.00,3.27
343.00,2.90
344.00,3.04
345.00,3.60
346.00,3.50
347.00,3.50
348.00,3.58
349.00,3.60
350.00,3.39
351.00,3.18
352.00,2.50
353.00,3.61
354.00,3.33
355.00,2.36
356.00,4.16
357.00,3.52
358.00,2.67
359.00,3.00
360.00,2.69
361.00,3.06
362.00,3.53
363.00,4.00
364.00,3.94
365.00,3.25
366.00,2.92
367.00,3.18
368.00,3.50
369.00,4.00
370.00,3.06
371.00,3.31
372.00,2.76
373.00,3.64
374.00,2.20
376.00,3.25
377.00,3.53
378.00,2.79
379.00,2.50
380.00,3.50
381.00,3.82
382.00,3.16
383.00,3.10
384.00,3.25
385.00,4.00
386.00,3.00
387.00,2.38
388.00,3.00
389.00,4.50
390.00,3.70
391.00,4.50
393.00,2.50
405.00,2.42
406.00,3.00
407.00,3.44
408.00,3.00
409.00,2.00
410.00,3.10
412.00,3.50
413.00,2.79
414.00,2.33
415.00,2.53
416.00,2.50
417.00,3.69
418.00,3.00
419.00,2.67
420.00,2.72
421.00,3.21
422.00,3.20
423.00,2.85
424.00,1.83
425.00,3.75
426.00,3.14
427.00,2.54
428.00,3.72
429.00,2.00
430.00,3.75
431.00,3.74
432.00,2.65
433.00,2.75
434.00,3.03
435.00,2.42
436.00,2.57
437.00,2.17
438.00,2.71
440.00,3.55
441.00,3.93
442.00,3.09
444.00,2.33
445.00,3.00
446.00,3.83
448.00,3.62
